transaction_id,amount,merchant_category,hour_of_day,day_of_week,is_online,device_type,card_present,pin_used,distance_from_home,is_foreign,merchant_trust,card_age_days,account_age_months,avg_transaction_amount,transactions_last_24h,transactions_last_week,amount_to_avg_ratio,daily_transaction_velocity,weekly_transaction_velocity,time_since_last_txn,previous_fraud_count,is_fraud
TXN00000000,37.87,Entertainment,6,0,0,Mobile,0,1,46.56,1,8,3181,93,42.7,4,11,0.867,4.0,1.571,4.7,0,0
TXN00000001,73.32,Retail,19,6,1,In-Person,1,1,13.74,0,10,1340,65,40.23,1,15,1.779,1.0,2.143,3.57,0,0
TXN00000002,83.34,Gas Station,14,2,0,Mobile,0,1,5.69,0,5,836,40,46.94,5,18,1.738,5.0,2.571,0.82,1,0
TXN00000003,238.86,Grocery,10,1,1,Desktop,0,0,53.87,0,7,3306,46,20.74,3,14,10.985,3.0,2.0,8.21,0,1
TXN00000004,24.1,Travel,7,0,1,In-Person,1,0,25.76,0,10,2185,91,27.49,3,9,0.846,3.0,1.286,21.2,0,0
TXN00000005,81.19,Grocery,20,5,0,Mobile,0,1,40.4,0,9,2851,97,17.32,3,11,4.431,3.0,1.571,11.9,0,0
TXN00000006,8.61,Travel,6,6,1,Desktop,0,1,46.76,0,7,874,8,17.16,3,12,0.474,3.0,1.714,23.97,0,0
TXN00000007,9.55,Gas Station,18,5,0,In-Person,1,0,57.03,0,7,33,116,109.76,2,23,0.086,2.0,3.286,23.25,1,0
TXN00000008,241.53,Restaurant,22,6,1,Mobile,0,0,26.44,0,2,986,106,146.94,4,15,1.633,4.0,2.143,7.02,0,0
TXN00000009,6.36,Retail,10,1,0,In-Person,1,1,19.12,0,7,2546,43,43.45,3,16,0.143,3.0,2.286,18.07,2,0
TXN00000010,120.76,Gas Station,10,0,1,In-Person,1,1,9.43,0,7,942,81,39.24,2,17,3.001,2.0,2.429,12.32,0,0
